index,manufacturer,model,sales_march_22
1,maruti suzuki,swift,19202
2,maruti suzuki,dzire,17438
3,maruti suzuki,wagonR,14669
4,maruti suzuki,baleno,12570
5,tata motors,nexon,12259
6,maruti suzuki,Ertiga,11649
7,maruti suzuki,alto,11551
8,mahindra,bolero,11045
9,hyundai,venue,10212
10,maruti suzuki,celerio,9896
11,hyundai,creta,9606
12,tata motors,punch,9592
13,maruti suzuki,vitara brezza,9256
14,maruti suzuki,eeco,9190
15,hyundai,i10 Grand Nios,8552
16,maruti suzuki,S presso,8140
17,kia,seltos,6575
18,kia,sonet,6154
19,hyundai,i20 elite,5830
20,kia,carens,5109
21,mahindra,thar,5072
22,tata motors,altroz,5011
23,mahindra,XUV300,4511
24,tata motors,tiago,4489
25,toyota,innova crysta,4318
